Country,Clicks,Impressions,CTR,Position
United Kingdom,1,53,1.89%,36.91
United States,0,5,0%,8
Turkey,0,1,0%,4
Netherlands,0,1,0%,7
Belarus,0,1,0%,8
India,0,1,0%,190
